
image no,detector,descriptor,TTC by Lidar,TTC by camera
10,AKAZE,ORB,11.1746,11.5619
11,AKAZE,ORB,12.8086,13.503
12,AKAZE,ORB,8.95978,12.8938
13,AKAZE,ORB,9.96439,11.2896
14,AKAZE,ORB,9.59863,10.4125
15,AKAZE,ORB,8.57352,10.3851
16,AKAZE,ORB,9.51617,10.3369
17,AKAZE,ORB,9.54658,9.37685
18,AKAZE,ORB,8.3988,9.86823

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,AKAZE,FREAK,12.5156,12.2899
2,AKAZE,FREAK,12.6142,14.0983
3,AKAZE,FREAK,14.091,14.5386
4,AKAZE,FREAK,16.6894,14.036
5,AKAZE,FREAK,15.9082,15.8923
6,AKAZE,FREAK,12.6787,14.4419
7,AKAZE,FREAK,11.9844,15.4416
8,AKAZE,FREAK,13.1241,14.9771
9,AKAZE,FREAK,13.0241,16.7731
10,AKAZE,FREAK,11.1746,11.8941
11,AKAZE,FREAK,12.8086,12.1617
12,AKAZE,FREAK,8.95978,11.7755
13,AKAZE,FREAK,9.96439,10.8611
14,AKAZE,FREAK,9.59863,9.87627
15,AKAZE,FREAK,8.57352,9.73035
16,AKAZE,FREAK,9.51617,10.7243
17,AKAZE,FREAK,9.54658,9.43337
18,AKAZE,FREAK,8.3988,8.80692

image no,detector,descriptor,TTC by Lidar,TTC by camera
1,AKAZE,AKAZE,12.5156,12.3168
2,AKAZE,AKAZE,12.6142,15.2212
3,AKAZE,AKAZE,14.091,13.1853
4,AKAZE,AKAZE,16.6894,14.249
5,AKAZE,AKAZE,15.9082,16.4623
6,AKAZE,AKAZE,12.6787,14.8779
7,AKAZE,AKAZE,11.9844,15.2979
8,AKAZE,AKAZE,13.1241,15.269
9,AKAZE,AKAZE,13.0241,16.3551
10,AKAZE,AKAZE,11.1746,12.2822
11,AKAZE,AKAZE,12.8086,12.9512
12,AKAZE,AKAZE,8.95978,11.1801
13,AKAZE,AKAZE,9.96439,11.0846
14,AKAZE,AKAZE,9.59863,11.0979
15,AKAZE,AKAZE,8.57352,10.7743
16,AKAZE,AKAZE,9.51617,10.4
17,AKAZE,AKAZE,9.54658,9.60975
18,AKAZE,AKAZE,8.3988,9.5364
